gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
TMEM167B,eqtl-a-ENSG00000215717,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000215717 || id:eqtl-a-ENSG00000215717,Inverse variance weighted,3,0.106319778851941,0.167150840689926,0.524730238059759,3,1.11217747048245,0.801479512344673,1.54331920753677,0.889846765258505,ns,FALSE,1,TRUE,0.89177424171589,ns
GPR65,eqtl-a-ENSG00000140030,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000140030 || id:eqtl-a-ENSG00000140030,Inverse variance weighted,2,-0.0221349151018043,0.0349050309730928,0.525984996536568,2,0.978108264572914,0.913429779537852,1.04736652850302,0.889846765258505,ns,FALSE,14,FALSE,0.89177424171589,ns
IQGAP2,eqtl-a-ENSG00000145703,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000145703 || id:eqtl-a-ENSG00000145703,Inverse variance weighted,2,0.0187344497589365,0.0296393203838507,0.527333983132208,2,1.01891104061653,0.96140586968109,1.07985580432813,0.889846765258505,ns,FALSE,5,FALSE,0.89177424171589,ns
URB1,eqtl-a-ENSG00000142207,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000142207 || id:eqtl-a-ENSG00000142207,Inverse variance weighted,2,0.04195739721061,0.0664748445652277,0.527924757093634,2,1.04285004948334,0.91545570618817,1.18797252379993,0.889846765258505,ns,FALSE,21,FALSE,0.89177424171589,ns
AZIN1,eqtl-a-ENSG00000155096,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000155096 || id:eqtl-a-ENSG00000155096,Inverse variance weighted,2,0.036214966505463,0.0574466425483759,0.528426044461946,2,1.03687871672957,0.92646366372292,1.16045293010898,0.889846765258505,ns,FALSE,8,FALSE,0.89177424171589,ns
LXN,eqtl-a-ENSG00000079257,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000079257 || id:eqtl-a-ENSG00000079257,Inverse variance weighted,2,0.0386365977897137,0.0613568082910841,0.528888583031146,2,1.03939269740654,0.921619577369387,1.17221596193269,0.889846765258505,ns,FALSE,3,FALSE,0.89177424171589,ns
MTMR6,eqtl-a-ENSG00000139505,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000139505 || id:eqtl-a-ENSG00000139505,Wald ratio,1,-0.0425102526496971,0.0676908444732484,0.530000046470644,1,0.958380639529602,0.83930231653506,1.09435352688771,0.889846765258505,ns,FALSE,13,FALSE,0.89177424171589,ns
SLC25A42,eqtl-a-ENSG00000181035,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000181035 || id:eqtl-a-ENSG00000181035,Wald ratio,1,-0.108319661144175,0.172481904455525,0.530000046470644,1,0.897340705622282,0.639937864617356,1.2582789462664,0.889846765258505,ns,FALSE,19,FALSE,0.89177424171589,ns
ABHD14B,eqtl-a-ENSG00000114779,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114779 || id:eqtl-a-ENSG00000114779,Wald ratio,1,-0.0642892736195756,0.102370563184967,0.530000356830459,1,0.937733698671318,0.767255376922325,1.14609100968583,0.889846765258505,ns,FALSE,3,FALSE,0.89177424171589,ns
BMP8B,eqtl-a-ENSG00000116985,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000116985 || id:eqtl-a-ENSG00000116985,Wald ratio,1,-0.10075008926576,0.16042868115298,0.530000356830459,1,0.904158963683906,0.660214627049793,1.23823889704325,0.889846765258505,ns,FALSE,1,FALSE,0.89177424171589,ns
RAB18,eqtl-a-ENSG00000099246,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000099246 || id:eqtl-a-ENSG00000099246,Wald ratio,1,-0.0614708526761959,0.0978831415866958,0.530002335380593,1,0.940380354910678,0.776218046752064,1.13926133977712,0.889846765258505,ns,FALSE,10,FALSE,0.89177424171589,ns
RBM7,eqtl-a-ENSG00000076053,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000076053 || id:eqtl-a-ENSG00000076053,Wald ratio,1,-0.131402751138463,0.209239233467609,0.530002335380593,1,0.876864545070258,0.581868007193855,1.32141898316315,0.889846765258505,ns,FALSE,11,FALSE,0.89177424171589,ns
SRRM1,eqtl-a-ENSG00000133226,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000133226 || id:eqtl-a-ENSG00000133226,Wald ratio,1,-0.121217786279521,0.193021199815224,0.530002335380593,1,0.885841014564439,0.606810129755206,1.29317930701176,0.889846765258505,ns,FALSE,1,FALSE,0.89177424171589,ns
ABI1,eqtl-a-ENSG00000136754,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000136754 || id:eqtl-a-ENSG00000136754,Inverse variance weighted,3,-0.110541277373866,0.176523901193841,0.531176297960497,3,0.895349371755959,0.633479193355473,1.26547249840604,0.889846765258505,ns,FALSE,10,TRUE,0.89177424171589,ns
WDR81,eqtl-a-ENSG00000167716,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000167716 || id:eqtl-a-ENSG00000167716,Inverse variance weighted,2,-0.0281661076744856,0.0450120462847252,0.53148155959951,2,0.972226859045151,0.89012825633894,1.06189760713413,0.889846765258505,ns,FALSE,17,FALSE,0.89177424171589,ns
ALCAM,eqtl-a-ENSG00000170017,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170017 || id:eqtl-a-ENSG00000170017,Inverse variance weighted,4,-0.0145527295843453,0.0232769094788616,0.531839639012351,4,0.985552649580676,0.941599294622428,1.03155772380328,0.889846765258505,ns,FALSE,3,TRUE,0.89177424171589,ns
