gene,logFC,adj.P.Val,module,GS_RA,kME_own
ING1,0.296291959003106,0.00032828278468998,yellow,0.341,0.564
C19orf24,-0.296246009618834,0.000971677577264254,brown,-0.315,0.574
UBE2Z,-0.296179319386499,0.00202941799492572,brown,-0.325,0.695
PGAP3,-0.296153312266788,0.000624865904178257,brown,-0.388,0.746
TJAP1,-0.296033873119988,1.25269440980985e-05,brown,-0.529,0.83
DRAM1,0.29597050770396,0.02443696167102,yellow,0.4,0.62
SUMF2,-0.295558306570781,0.00108523209886813,brown,-0.4,0.699
CDK9,-0.295016180024462,0.00139782792171527,brown,-0.369,0.649
ZNF490,-0.294632518517224,0.00684961475333827,brown,-0.17,0.389
BET1L,-0.294481779038324,0.000160870719606512,brown,-0.309,0.617
PHF19,-0.294436742386697,0.000385942728652552,brown,-0.387,0.683
SGSM2,-0.294320718134086,0.000119909651161597,brown,-0.441,0.663
DVL2,-0.294289965702958,0.00014613985075221,brown,-0.544,0.697
COQ10B,0.294237235630658,1.16495777957881e-05,yellow,0.483,0.835
ZDHHC16,-0.294176245257381,1.31129545120068e-06,brown,-0.292,0.639
OSBP,-0.29375234643534,2.97347505184519e-05,brown,-0.495,0.774
HYI,-0.293662830696749,0.00178552743946156,brown,-0.284,0.531
BANF1,-0.293256189363193,0.000247416013160646,brown,-0.317,0.659
COMMD2,0.293085086380069,0.00943772259009302,yellow,0.419,0.771
ATP11A,0.292957117336657,0.0389603946688631,yellow,0.317,0.582
MAGED2,-0.292648605954918,0.000345723871217476,brown,-0.407,0.655
NEIL2,-0.292576989458878,0.0121619546913107,brown,-0.321,0.599
VARS2,-0.292527090051935,0.00931193541634532,brown,-0.261,0.595
SCYL2,0.292445427703344,0.00149593195616349,yellow,0.358,0.783
IRAK1,-0.292351144824846,0.00101476817862218,brown,-0.371,0.613
LMNB2,-0.292347893331867,0.00568992509020873,brown,-0.26,0.589
ATN1,-0.292240221646088,0.0142392027360286,brown,-0.256,0.372
SNRPB,-0.291879504468773,0.000103200034771907,brown,-0.481,0.764
GSS,-0.291771451687916,3.06542474969433e-05,brown,-0.434,0.728
ZNF317,-0.291685686334607,2.45418870872867e-05,brown,-0.459,0.751
RNF146,0.291595577322216,0.00425994892867881,yellow,0.505,0.794
HDHD3,-0.291480036036536,0.0220982566002376,brown,-0.204,0.376
SYNGAP1,-0.29147247708279,0.00368881945199362,brown,-0.25,0.483
PIGU,-0.29142695694968,0.000453576056566823,brown,-0.311,0.576
RPA1,-0.291244388215928,8.32053723169187e-05,brown,-0.48,0.659
INTS1,-0.29105413703772,0.000352612064480425,brown,-0.421,0.517
CREB3,-0.290866422011488,0.000118082026623132,brown,-0.311,0.553
MPV17,-0.290749555577421,0.000324212151820625,brown,-0.302,0.63
RRP8,-0.290400493191402,7.84210170659954e-05,brown,-0.414,0.653
SERPINI2,0.290339395699649,0.00892077763034859,yellow,0.295,0.382
DEXI,-0.290153100312983,0.00158844450252828,brown,-0.382,0.702
MIA,-0.28984779801862,0.00462135394127833,brown,-0.286,0.372
DUSP11,0.289412586643899,3.91740177089074e-06,yellow,0.504,0.768
PSMB2,-0.289093970744479,0.000291357406406334,brown,-0.33,0.649
CNFN,-0.28895899255966,0.000370628769771821,brown,-0.108,0.399
MTA2,-0.288901632521888,0.000611310253021988,brown,-0.234,0.56
MMP17,-0.288798675519818,0.00988868902651364,brown,-0.214,0.352
TBCD,-0.288793264455969,0.00149136253594602,brown,-0.412,0.687
POLR2L,-0.288614661093567,0.000168382527595608,brown,-0.297,0.614
TMEM39B,-0.288547768316846,0.000948460456690467,brown,-0.37,0.658
PHC1,-0.288417448556574,0.00270302957844164,brown,-0.402,0.648
ATP13A2,-0.288411700973587,0.00419891684423813,brown,-0.273,0.559
EGLN1,0.288407587822691,0.000730547000634666,yellow,0.354,0.816
WDR26,0.288250976350759,0.000826465137508073,yellow,0.325,0.625
C1orf162,-0.28823443557533,1.02692203388173e-05,brown,-0.19,0.553
SLC35C2,-0.288197488852146,7.73838830727875e-05,brown,-0.402,0.664
MSL3,0.288054993344342,0.0019898307311744,yellow,0.439,0.627
MRPL2,-0.287931572664382,0.0234652111068308,brown,-0.138,0.44
PPIP5K1,-0.287596332365992,0.00106105184819874,brown,-0.298,0.548
VGLL4,-0.287000608083623,0.000103172464039762,brown,-0.377,0.691
SIRT3,-0.286748119547915,0.00208026809057995,brown,-0.248,0.454
CALR,-0.286720392605449,0.000399403326886138,brown,-0.334,0.657
VAC14,-0.286248394792095,0.000775275229040272,brown,-0.373,0.635
DCAKD,-0.286005398557706,0.000497884435123239,brown,-0.37,0.65
CXXC5,-0.28577381522424,0.0291684096232382,brown,-0.401,0.48
TELO2,-0.285721594740909,0.00021954536304144,brown,-0.421,0.516
VPS52,-0.285671361660096,0.000228850966920846,brown,-0.402,0.679
LRRC47,-0.285334651978216,0.000147224818155133,brown,-0.449,0.745
POLR1A,-0.285198063202159,0.0210858876499386,brown,-0.298,0.388
BCL9,-0.284898430974136,0.00171730849691694,brown,-0.271,0.528
FKBP2,-0.284874828732632,0.00754031407407828,brown,-0.458,0.675
CARD8,0.284765778267196,0.00585823124813603,yellow,0.405,0.806
KRAS,0.284391969245329,3.28451730674712e-05,yellow,0.439,0.729
WDR46,-0.284312345488734,0.00166821622227835,brown,-0.477,0.704
ACLY,-0.284130706225702,2.93262116199114e-05,brown,-0.471,0.729
ZBTB46,-0.284054279289536,0.0131032458796588,brown,-0.295,0.494
SMC1A,-0.283878207355893,0.000109287000519345,brown,-0.43,0.557
GTF2B,0.283494526290042,0.000363569583835624,yellow,0.43,0.54
KARS,-0.283305435057517,0.00017542196885474,brown,-0.465,0.764
PAFAH1B1,-0.283298118818163,0.000954767837558525,brown,-0.408,0.604
WDR1,-0.283107942896311,1.46223141519946e-05,brown,-0.457,0.761
