sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Female,CEP97,yellow,0.372851452861819,4.61240014825858e-06,Up in RA,0.516,0.442
Female,CKLF,yellow,0.3725964357546,1.93051069672848e-08,Up in RA,0.751,0.516
Female,OSTM1,yellow,0.371448553751463,1.57250341283247e-08,Up in RA,0.846,0.482
Female,SLC22A15,yellow,0.371406061095361,4.91292062832444e-06,Up in RA,0.74,0.452
Female,CLSTN1,brown,-0.371169826082396,1.95147997357032e-09,Down in RA,0.896,-0.556
Female,KIAA1468,yellow,0.370696040590368,6.57132423649211e-08,Up in RA,0.847,0.476
Female,TBC1D23,yellow,0.369978697158803,9.02336711123351e-10,Up in RA,0.88,0.535
Female,PPDPF,brown,-0.369863632765164,1.58647736310285e-05,Down in RA,0.661,-0.404
Female,MLLT6,brown,-0.36983704026901,5.1548131937289e-10,Down in RA,0.866,-0.549
Female,NFATC2,brown,-0.369601656877228,1.3103723693665e-07,Down in RA,0.785,-0.482
Female,KBTBD7,yellow,0.368310156247459,4.15692866275472e-06,Up in RA,0.786,0.434
Female,ZNF609,brown,-0.367593347855174,1.06572100740697e-09,Down in RA,0.763,-0.513
Female,PCSK7,brown,-0.367170815782907,2.06649143232768e-10,Down in RA,0.781,-0.548
Female,NCR3,brown,-0.366409350019186,1.29895926990982e-06,Down in RA,0.517,-0.428
Female,DPY19L3,yellow,0.365891377181136,1.83700201274039e-07,Up in RA,0.689,0.445
Female,PGGT1B,yellow,0.364820017899259,4.44960363392178e-08,Up in RA,0.856,0.445
Female,PLCG1,brown,-0.363726774963255,3.35645531654832e-09,Down in RA,0.777,-0.518
Female,KHSRP,brown,-0.363591278013082,2.28616979952991e-10,Down in RA,0.911,-0.564
Female,FAM19A2,yellow,0.363017819683321,0.0014622802393509,Up in RA,0.424,0.26
Female,UBAP2,brown,-0.36285600230005,2.06649143232768e-10,Down in RA,0.806,-0.581
Female,RMI1,yellow,0.362776623722209,4.73799248893346e-08,Up in RA,0.864,0.487
Female,TBK1,yellow,0.361424071930891,7.09677410057694e-09,Up in RA,0.863,0.51
Female,DNMT1,brown,-0.359704516162115,8.61948185310833e-08,Down in RA,0.859,-0.495
Female,SCRN1,brown,-0.359569430501077,8.56891301835124e-09,Down in RA,0.689,-0.527
Female,ROCK1,yellow,0.358864092075837,3.5452333118311e-08,Up in RA,0.913,0.478
Female,SPATS2,brown,-0.358694037387005,3.54370382008527e-07,Down in RA,0.611,-0.399
Female,ABHD3,yellow,0.358201263545206,2.60852150621431e-08,Up in RA,0.876,0.472
Female,DPH3,yellow,0.358186525667103,2.32720097556952e-08,Up in RA,0.775,0.491
Female,MS4A6A,yellow,0.357837338783263,1.17131013112249e-08,Up in RA,0.606,0.441
Female,LAX1,brown,-0.357519188927142,1.28310602375153e-05,Down in RA,0.413,-0.274
Female,PHTF1,yellow,0.356470120959408,3.93475775356108e-08,Up in RA,0.626,0.483
Female,KL,yellow,0.356320879631062,2.92878470786967e-05,Up in RA,0.493,0.368
Female,TMOD2,yellow,0.353940672994872,1.90390000283204e-05,Up in RA,0.64,0.347
Female,IDI1,yellow,0.353086048226048,9.67067148523128e-07,Up in RA,0.857,0.469
Female,NCAPD2,brown,-0.352572814635723,1.09327708589947e-06,Down in RA,0.654,-0.426
