gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
ABCC2,0.241211921040533,5.55332768689713,4.36609072906002,2.10111822763872e-05,8.56929212717421e-05,TRUE,Up in RA
LMF2,-0.160937908951355,8.29425514677442,-4.36608790808288,2.10114280730371e-05,8.56929212717421e-05,TRUE,Down in RA
PHC3,0.188884500658981,10.0615195854077,4.36505826558179,2.11013271796341e-05,8.60373047937333e-05,TRUE,Up in RA
BTN3A1,-0.147976261306354,10.6565771562005,-4.36482710427385,2.11215607827272e-05,8.60863221483419e-05,TRUE,Down in RA
SNX18,0.177187213988981,10.3503987257076,4.36479614974291,2.11242716532251e-05,8.60863221483419e-05,TRUE,Up in RA
ZFYVE1,-0.169827092791587,7.9226804730598,-4.36344320786723,2.12430835179008e-05,8.6547389124466e-05,TRUE,Down in RA
SLC25A13,-0.183732614179592,6.84670773032933,-4.36338293357871,2.12483915442291e-05,8.6547389124466e-05,TRUE,Down in RA
TNRC18,-0.200207133330635,6.55112353959509,-4.36326998947873,2.12583413396245e-05,8.65655475423668e-05,TRUE,Down in RA
SLAIN2,0.127652734043825,8.66200853791121,4.36186231718264,2.1382725786653e-05,8.70495626485048e-05,TRUE,Up in RA
TSHZ1,-0.158034737219965,7.95206309564342,-4.361776998922,2.13902870664105e-05,8.70578608385823e-05,TRUE,Down in RA
TMEM14A,0.210891638007569,6.83887178184625,4.36119816528361,2.14416536479205e-05,8.72443950573492e-05,TRUE,Up in RA
LAX1,-0.268291643625628,6.63190242050133,-4.35859793856238,2.16738655715733e-05,8.81664885173443e-05,TRUE,Down in RA
F11R,-0.158628432565436,10.8406252063792,-4.35546537839416,2.19568228696888e-05,8.92944785590567e-05,TRUE,Down in RA
OBSCN,-0.19369858157177,4.64933767149199,-4.35302372122529,2.21798270888242e-05,9.01781311326117e-05,TRUE,Down in RA
ABHD11,-0.167137706293485,6.23820838385469,-4.35235105100338,2.22416449862969e-05,9.04061500564721e-05,TRUE,Down in RA
YWHAH,-0.149567384629935,10.0140046475333,-4.35225699053742,2.22503022366636e-05,9.04180237578057e-05,TRUE,Down in RA
POLL,-0.241418858567147,6.8054403022921,-4.35106139501724,2.2360626016186e-05,9.08429247147268e-05,TRUE,Down in RA
TRAF3IP3,-0.137641045965418,10.1692488309019,-4.35075299760295,2.23891684768366e-05,9.09354451688675e-05,TRUE,Down in RA
PRKACB,0.258844586372601,10.263315183562,4.35011204390766,2.24486011841244e-05,9.11533489091582e-05,TRUE,Up in RA
MAF1,-0.226579015386371,7.91832109276564,-4.34884044600185,2.25669589835718e-05,9.16103462420916e-05,TRUE,Down in RA
NSDHL,-0.157379100251227,6.02027139673618,-4.34796194702913,2.26490773536166e-05,9.19200325244744e-05,TRUE,Down in RA
TMEM127,-0.162019632376604,10.400109444201,-4.34705999092354,2.27336866294773e-05,9.22396659820978e-05,TRUE,Down in RA
PPOX,-0.179580127080262,7.42380012514443,-4.34690916699637,2.27478644424212e-05,9.22734398368209e-05,TRUE,Down in RA
CDIPT,-0.127672670003824,9.03363155295055,-4.34626558297274,2.28084582759798e-05,9.24954277860224e-05,TRUE,Down in RA
WDR53,0.149872297337958,6.43820828536729,4.34505089230847,2.29232443319206e-05,9.29370114207986e-05,TRUE,Up in RA
POLD1,-0.120862758711065,4.65469117163995,-4.34469437615111,2.29570395213996e-05,9.30500935911085e-05,TRUE,Down in RA
ESD,-0.124883417948159,9.68820552459111,-4.34439169215626,2.2985769317133e-05,9.31425917084748e-05,TRUE,Down in RA
TM9SF4,-0.147006223168431,8.16787209480597,-4.3439090879526,2.30316479141927e-05,9.33045145390438e-05,TRUE,Down in RA
USP19,-0.136742088030714,8.14232621733568,-4.34381477298986,2.30406241881019e-05,9.33168959601876e-05,TRUE,Down in RA
SPRYD3,-0.184551196979897,7.18368368107725,-4.34365776165645,2.30555749320328e-05,9.33534620225105e-05,TRUE,Down in RA
UCKL1,-0.155693546026115,5.62903572436276,-4.3433775504515,2.30822799937936e-05,9.34375910483228e-05,TRUE,Down in RA
YIPF2,-0.269280151490353,7.49529968509072,-4.34301294399942,2.31170726314735e-05,9.35544071604406e-05,TRUE,Down in RA
RNLS,0.194391781981558,4.819108776915,4.34275918489929,2.31413173260723e-05,9.36284869124429e-05,TRUE,Up in RA
NMT1,-0.103645420548469,7.85951090921445,-4.34134754652606,2.32766342127427e-05,9.41518052592924e-05,TRUE,Down in RA
RBM17,-0.117364401581041,9.76703290415,-4.34085443385356,2.33240816573435e-05,9.43195226179336e-05,TRUE,Down in RA
RARS2,0.147124073219184,7.7944595335484,4.34065302552334,2.334348789917e-05,9.4373788087873e-05,TRUE,Up in RA
MRPS14,0.177446575718614,8.67028849733692,4.34009363107897,2.33974683617544e-05,9.45677676375218e-05,TRUE,Up in RA
DCAF6,-0.200778527589296,10.8769199100721,-4.33939687081592,2.34648718224836e-05,9.48158868335835e-05,TRUE,Down in RA
NAE1,0.20047899924783,8.09319663617246,4.33838025475899,2.35635518519017e-05,9.51902275349889e-05,TRUE,Up in RA
CR1,0.25740840560776,9.56039635422204,4.33678405110381,2.37192944189426e-05,9.57948342110666e-05,TRUE,Up in RA
FGD3,-0.155232504196963,9.39520569935065,-4.33613886198509,2.37825257077706e-05,9.6025602646411e-05,TRUE,Down in RA
PPME1,-0.164249155804162,6.34333773250177,-4.33515642915192,2.38791189522956e-05,9.63732737606411e-05,TRUE,Down in RA
TSPAN10,-0.156549770950136,3.94588725680901,-4.33513874909098,2.38808607060245e-05,9.63732737606411e-05,TRUE,Down in RA
NRBP1,-0.139942122109761,6.97057910123792,-4.33400922965076,2.3992388393937e-05,9.67985713472304e-05,TRUE,Down in RA
ZMIZ1,-0.183622270993812,9.8187931663358,-4.3337873819172,2.40143520476784e-05,9.68623928678491e-05,TRUE,Down in RA
PTCD3,-0.171609609321315,8.43019514170669,-4.33329713938112,2.40629560818985e-05,9.70336087794747e-05,TRUE,Down in RA
KBTBD6,0.306633541349344,6.53300675941957,4.33284385705894,2.41079797135812e-05,9.71903028708901e-05,TRUE,Up in RA
PHKG1,-0.107114724975389,5.45747421213771,-4.3313437638444,2.42575578521732e-05,9.7768316140068e-05,TRUE,Down in RA
ACSM3,0.174091261675822,4.73341020908857,4.3289737524171,2.44956932804722e-05,9.86776420087104e-05,TRUE,Up in RA
FAM60A,0.205283467105322,8.79975688341872,4.32840179755796,2.4553497427758e-05,9.88852273770436e-05,TRUE,Up in RA
