sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,CCDC146,yellow,0.468854416032001,0.00341992492355166,Up in RA,0.575,0.387
Male,GANAB,brown,-0.468800592587706,4.58576499011419e-07,Down in RA,0.861,-0.496
Male,FLNB,brown,-0.468725253268006,0.000735453050345954,Down in RA,0.655,-0.432
Male,SRRT,brown,-0.468641312616494,4.96755150484526e-07,Down in RA,0.875,-0.592
Male,RHOF,brown,-0.468336945129854,1.72571842722418e-05,Down in RA,0.864,-0.472
Male,MTM1,yellow,0.46743530804883,0.000406613400937833,Up in RA,0.69,0.453
Male,DPAGT1,brown,-0.467336604138747,1.42752848181147e-07,Down in RA,0.83,-0.571
Male,PLOD3,brown,-0.466737480717649,1.05343058911671e-05,Down in RA,0.641,-0.312
Male,ANKRD50,yellow,0.466548890583539,0.00526418564091479,Up in RA,0.674,0.341
Male,FKBP4,brown,-0.46596768060313,1.99288451477411e-05,Down in RA,0.728,-0.452
Male,NUP62,brown,-0.465896792766416,6.5476401240436e-07,Down in RA,0.788,-0.532
Male,MYO1G,brown,-0.46573687003209,0.000194543498580809,Down in RA,0.649,-0.475
Male,FAM189B,brown,-0.465649534994648,1.42042626563673e-05,Down in RA,0.65,-0.407
Male,LARP1,brown,-0.465643063411361,4.4973463844524e-06,Down in RA,0.829,-0.508
Male,RASAL3,brown,-0.465009704743457,1.40025024537934e-05,Down in RA,0.801,-0.506
Male,TSPAN18,brown,-0.464999404730999,0.000340656001528098,Down in RA,0.634,-0.347
Male,FNBP1,brown,-0.464415634820349,3.57823861328379e-06,Down in RA,0.813,-0.477
Male,B3GAT3,brown,-0.463292584824033,2.9217055257058e-06,Down in RA,0.762,-0.428
Male,NOP14,brown,-0.462248929582569,1.17002034000814e-05,Down in RA,0.675,-0.448
Male,ACSS1,brown,-0.462199373131187,6.12822292276823e-06,Down in RA,0.774,-0.477
Male,MPI,brown,-0.46177752335547,1.53090684911008e-05,Down in RA,0.584,-0.318
Male,APOBEC3C,brown,-0.460772003201717,1.1349040832792e-05,Down in RA,0.776,-0.515
Male,VAMP7,yellow,0.459251553743206,3.77627203113122e-06,Up in RA,0.782,0.478
Male,ZNF608,yellow,0.458926120785529,0.0337109204029802,Up in RA,0.566,0.37
Male,SLC36A4,yellow,0.458230507579715,0.000153884220176503,Up in RA,0.583,0.347
Male,TP53,brown,-0.45655485381703,1.20481914911193e-05,Down in RA,0.797,-0.502
Male,S100A12,yellow,0.456278850143265,0.0220649607990816,Up in RA,0.581,0.422
Male,LTBP3,brown,-0.455805516290471,0.00016334170425164,Down in RA,0.555,-0.347
Male,ZBTB4,brown,-0.455731173783442,2.5767097267757e-06,Down in RA,0.803,-0.552
Male,DDX51,brown,-0.455422071350274,8.2269051357317e-05,Down in RA,0.66,-0.383
Male,WDR47,yellow,0.454672133521151,0.00032434480762334,Up in RA,0.803,0.409
Male,ELAC2,brown,-0.454191930435905,7.24747175863926e-05,Down in RA,0.734,-0.447
Male,DMXL2,yellow,0.453952323623581,0.000230179155349251,Up in RA,0.844,0.445
Male,SPN,brown,-0.453841661688247,0.000398737388695531,Down in RA,0.816,-0.406
Male,CCR5,brown,-0.453700180022554,0.00512854865022319,Down in RA,0.401,-0.489
Male,ERAP2,brown,-0.453569873972961,0.0388800478584934,Down in RA,0.375,-0.229
Male,ANXA6,brown,-0.453279946909913,9.1549088453139e-05,Down in RA,0.852,-0.457
Male,PRMT7,brown,-0.453220605300836,3.14121396846426e-05,Down in RA,0.613,-0.414
Male,AMT,brown,-0.453069948723074,3.76207999965104e-05,Down in RA,0.689,-0.468
Male,HDAC6,brown,-0.453010968908817,2.67763859891125e-06,Down in RA,0.764,-0.476
Male,SEC31B,brown,-0.452911966589462,9.20105817009562e-05,Down in RA,0.692,-0.455
Male,RHOT1,yellow,0.452602661967048,1.05270842579518e-05,Up in RA,0.872,0.485
Male,TSPYL2,brown,-0.452117515883428,0.000257844437970284,Down in RA,0.709,-0.441
Male,KPNA6,brown,-0.451615066311643,6.96381206106976e-07,Down in RA,0.842,-0.482
Male,ATP1A1,brown,-0.451487890657936,1.37653389411801e-06,Down in RA,0.813,-0.418
Male,GOT2,brown,-0.450772343289389,3.17340969926812e-05,Down in RA,0.849,-0.495
Male,ERCC2,brown,-0.450595904733851,2.98624188275601e-05,Down in RA,0.462,-0.363
Male,FNIP2,brown,-0.450291515393733,5.95130869494203e-05,Down in RA,0.679,-0.364
Male,ATP11B,yellow,0.450279747984011,9.29307327380391e-06,Up in RA,0.836,0.496
