gene,id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
VARS2,eqtl-a-ENSG00000137411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000137411 || id:eqtl-a-ENSG00000137411,MR Egger,1.41099330549336,1,0.234891568865638
VARS2,eqtl-a-ENSG00000137411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000137411 || id:eqtl-a-ENSG00000137411,Inverse variance weighted,2.26149383995286,2,0.322792066515973
CAND2,eqtl-a-ENSG00000144712,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000144712 || id:eqtl-a-ENSG00000144712,MR Egger,3.05360718660341,2,0.217228910727137
CAND2,eqtl-a-ENSG00000144712,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000144712 || id:eqtl-a-ENSG00000144712,Inverse variance weighted,3.37649042447254,3,0.337137700488798
RPA1,eqtl-a-ENSG00000132383,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132383 || id:eqtl-a-ENSG00000132383,MR Egger,0.31558858248983,1,0.574270884840409
RPA1,eqtl-a-ENSG00000132383,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132383 || id:eqtl-a-ENSG00000132383,Inverse variance weighted,1.08262569315124,2,0.581983695309288
MBOAT1,eqtl-a-ENSG00000172197,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000172197 || id:eqtl-a-ENSG00000172197,MR Egger,0.30774359796881,1,0.579068115639452
MBOAT1,eqtl-a-ENSG00000172197,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000172197 || id:eqtl-a-ENSG00000172197,Inverse variance weighted,0.31486494823404,2,0.854334501352314
GSDMB,eqtl-a-ENSG00000073605,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000073605 || id:eqtl-a-ENSG00000073605,MR Egger,1.64241082432882,2,0.439901072681206
GSDMB,eqtl-a-ENSG00000073605,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000073605 || id:eqtl-a-ENSG00000073605,Inverse variance weighted,3.15719752234069,3,0.368017652378421
C12orf76,eqtl-a-ENSG00000174456,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000174456 || id:eqtl-a-ENSG00000174456,MR Egger,0.228770998828965,1,0.632436615414425
C12orf76,eqtl-a-ENSG00000174456,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000174456 || id:eqtl-a-ENSG00000174456,Inverse variance weighted,0.353807238234928,2,0.837860534369305
ANGPT1,eqtl-a-ENSG00000154188,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000154188 || id:eqtl-a-ENSG00000154188,MR Egger,0.241856094134622,1,0.62286874816318
