gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
CPNE8,FALSE,12,3,Inverse variance weighted,1.241,0.69,2.233,0.471,0.888,3,Inverse variance weighted,1.241,0.69,2.233,0.471,0.892,TRUE,ns in both,TRUE
CEP97,FALSE,3,2,Inverse variance weighted,0.928,0.757,1.138,0.472,0.888,2,Inverse variance weighted,0.928,0.757,1.138,0.472,0.892,TRUE,ns in both,TRUE
TMEM63A,FALSE,1,3,Inverse variance weighted,1.019,0.968,1.073,0.477,0.888,3,Inverse variance weighted,1.019,0.968,1.073,0.477,0.892,TRUE,ns in both,TRUE
ASAH1,FALSE,8,3,Inverse variance weighted,0.985,0.945,1.027,0.478,0.888,3,Inverse variance weighted,0.985,0.945,1.027,0.478,0.892,TRUE,ns in both,TRUE
PGPEP1,FALSE,19,2,Inverse variance weighted,0.919,0.728,1.16,0.478,0.888,2,Inverse variance weighted,0.919,0.728,1.16,0.478,0.892,TRUE,ns in both,TRUE
CDK5R1,FALSE,17,3,Inverse variance weighted,1.127,0.809,1.571,0.479,0.888,3,Inverse variance weighted,1.127,0.809,1.571,0.479,0.892,TRUE,ns in both,TRUE
AGTPBP1,FALSE,9,1,Wald ratio,1.094,0.852,1.405,0.48,0.888,1,Wald ratio,1.094,0.852,1.405,0.48,0.892,TRUE,ns in both,TRUE
ALDH16A1,FALSE,19,1,Wald ratio,1.035,0.94,1.14,0.48,0.888,1,Wald ratio,1.035,0.94,1.14,0.48,0.892,TRUE,ns in both,TRUE
DPAGT1,FALSE,11,1,Wald ratio,0.963,0.867,1.069,0.48,0.888,1,Wald ratio,0.963,0.867,1.069,0.48,0.892,TRUE,ns in both,TRUE
FARSB,FALSE,2,1,Wald ratio,1.174,0.753,1.831,0.48,0.888,1,Wald ratio,1.174,0.753,1.831,0.48,0.892,TRUE,ns in both,TRUE
KLHDC3,FALSE,6,1,Wald ratio,0.892,0.65,1.225,0.48,0.888,1,Wald ratio,0.892,0.65,1.225,0.48,0.892,TRUE,ns in both,TRUE
RNF26,FALSE,11,1,Wald ratio,0.927,0.751,1.144,0.48,0.888,1,Wald ratio,0.927,0.751,1.144,0.48,0.892,TRUE,ns in both,TRUE
