gene,module
JUP,brown
KARS,brown
KAT2A,brown
KBTBD7,yellow
KCNG1,brown
KCNJ2,yellow
KCTD1,brown
KCTD10,brown
KCTD12,yellow
KDELR1,brown
KDM1A,brown
KDM3A,yellow
KDM6A,yellow
KDSR,brown
KHK,brown
KHSRP,brown
KIAA0754,brown
KIAA1033,yellow
KIAA1109,yellow
KIAA1191,brown
KIAA1468,yellow
KIAA1841,yellow
KIAA2026,brown
KIDINS220,yellow
KIF13B,brown
KIF27,yellow
KIF3B,brown
KIFC2,brown
KIFC3,brown
KIN,yellow
KIT,yellow
KL,yellow
KLC2,brown
KLF2,brown
KLF3,yellow
KLHDC3,brown
KLHDC4,brown
KLHL12,yellow
KLHL2,yellow
KLHL26,brown
KLHL5,yellow
KLK1,brown
KPNA4,yellow
KPNA6,brown
KRAS,yellow
KRBA1,brown
KRCC1,yellow
KRI1,brown
KRT18,brown
KYNU,yellow
L3MBTL2,brown
LAGE3,brown
LAIR1,brown
LAMP1,brown
LAMP2,yellow
LARP1,brown
LARS,brown
LARS2,brown
LAS1L,brown
LATS2,yellow
LAX1,brown
LBR,yellow
LCMT1,brown
LDOC1,brown
LDOC1L,brown
LENG8,brown
LETM1,brown
LFNG,brown
LGALS1,brown
LGI4,brown
LHPP,brown
LILRA4,brown
LIMD1,brown
LIMS1,brown
LIPA,brown
LMBRD1,yellow
LMF1,brown
LMF2,brown
LMNB2,brown
LOC100131541,brown
LOC401052,brown
LONP1,brown
LONRF1,yellow
LPAR1,yellow
LPAR5,brown
LPCAT1,brown
LPCAT2,yellow
LPCAT4,brown
LPGAT1,yellow
LRBA,brown
LRCH3,brown
LRFN2,brown
LRFN3,brown
LRMP,yellow
LRRC41,brown
LRRC45,brown
LRRC47,brown
LRRC8A,brown
LRRK2,yellow
LSG1,brown
LSM12,brown
LSM2,brown
LSM4,brown
LSS,brown
LTA,brown
LTBP3,brown
LTK,brown
LUC7L,brown
LUC7L2,brown
LUZP1,brown
LXN,yellow
LY75,yellow
LY96,yellow
LYG2,brown
LYRM1,yellow
LYSMD2,yellow
LYSMD3,yellow
LYST,yellow
LZTR1,brown
LZTS2,brown
M6PR,brown
MAD1L1,brown
MADD,brown
MAFK,brown
MAGED1,brown
MAGED2,brown
MAN1A1,yellow
MAN1B1,brown
MAN2C1,brown
MAP2K5,brown
MAP3K10,brown
MAP3K8,yellow
MAP4,brown
MAP4K1,brown
MAP4K2,brown
MAPK1,yellow
MAPK1IP1L,brown
MAPKBP1,brown
MAPRE1,brown
MAPRE2,brown
MAX,brown
MAZ,brown
MBD1,brown
MBD3,brown
MBD5,yellow
MBOAT1,yellow
MBTPS1,brown
MC1R,brown
MCCC2,brown
MCF2L,brown
MCM3,brown
MCM3AP,brown
MCM5,brown
MCM6,brown
MCM7,brown
MCM9,yellow
MCTP1,yellow
MDH2,brown
MDM4,brown
MEA1,brown
MED1,brown
MED19,brown
MED24,brown
MED26,brown
MED27,brown
MED29,brown
MED30,yellow
MED31,yellow
MED9,brown
MEF2A,yellow
MEGF8,brown
MEN1,brown
MESP1,brown
METTL13,brown
METTL2B,brown
METTL9,yellow
MFAP3,yellow
MFGE8,brown
MFHAS1,brown
MFN1,yellow
MFNG,brown
MFSD1,yellow
MGMT,brown
MIA,brown
MICAL3,brown
MIER1,yellow
MIF4GD,brown
MINK1,brown
MKLN1,yellow
MLEC,brown
MLLT6,brown
MLST8,brown
MLYCD,brown
MMADHC,yellow
MMP17,brown
MMP19,brown
MMS19,brown
MOGS,brown
MON1A,brown
MORC2,brown
MORC3,yellow
MORN3,brown
MOSPD2,yellow
MPG,brown
MPI,brown
MPND,brown
MPP7,yellow
MPRIP,brown
MPV17,brown
MPV17L2,brown
MPZL2,yellow
MRPL10,brown
MRPL12,brown
MRPL16,brown
MRPL2,brown
MRPL37,brown
MRPL38,brown
MRPL4,brown
MRPL41,brown
MRPL49,brown
MRPL55,brown
MRPS11,brown
MRPS12,brown
MRPS18A,brown
MRPS2,brown
MRPS34,brown
MRPS36,yellow
MRPS6,brown
MS4A3,yellow
MS4A4A,yellow
MS4A6A,yellow
MSL3,yellow
MSTO1,brown
MTA2,brown
MTCH1,brown
MTCH2,brown
MTDH,brown
MTFMT,yellow
MTG1,brown
MTHFD1,brown
MTHFR,brown
MTM1,yellow
MTMR10,yellow
MTMR6,yellow
MTOR,brown
MUC20,brown
MUM1,brown
MUS81,brown
MUTYH,brown
MVD,brown
MYBBP1A,brown
MYCBP2,brown
MYH10,yellow
MYH3,brown
MYL12B,yellow
MYO1G,brown
MYO5A,yellow
MYO9A,brown
MZF1,brown
NAA35,brown
NAALADL1,brown
NAB1,yellow
NACA2,brown
NAGLU,brown
NAGPA,brown
NAT1,yellow
NAT10,brown
NAT14,brown
NAT6,brown
NAT9,brown
NBAS,brown
NBEAL1,brown
NBN,yellow
NCAPD2,brown
NCAPH2,brown
NCDN,brown
NCKAP1L,brown
NCKIPSD,brown
NCL,brown
NCOA3,brown
NCOA5,brown
NCOR1,brown
NCR3,brown
NDRG2,brown
NDRG3,brown
NDUFA10,brown
NDUFA11,brown
NDUFA3,brown
NDUFA9,brown
NDUFAF3,brown
NDUFB10,brown
NDUFB3,yellow
NDUFB9,brown
NDUFS7,brown
NDUFV1,brown
NECAB1,yellow
NECAB3,brown
NECAP1,yellow
NEDD8,brown
NEIL2,brown
NEK1,brown
NEK7,yellow
NEK8,brown
NEK9,brown
NETO2,yellow
NEURL4,brown
NF2,brown
NFATC1,brown
NFATC2,brown
NFATC2IP,brown
NFATC3,brown
NFE2L2,yellow
NFKBIZ,yellow
NFRKB,brown
NFS1,brown
NFX1,brown
NFXL1,yellow
NFYA,yellow
NHS,yellow
NICN1,brown
NIN,yellow
NIPA2,brown
NIPSNAP1,brown
NISCH,brown
NKAP,yellow
NKAPL,yellow
NKTR,brown
NLRC5,brown
NMI,yellow
NMRAL1,brown
NOB1,brown
NOC2L,brown
NOC4L,brown
NOD1,brown
NOL10,brown
NOL6,brown
NOL9,brown
NONO,brown
NOP14,brown
NOP2,brown
NOXA1,brown
NOXO1,brown
NPCDR1,brown
NPRL2,brown
NPTN,yellow
NR2C2AP,brown
NR4A1,brown
NR4A2,yellow
NRG1,yellow
NSDHL,brown
NSMAF,yellow
NSUN3,yellow
NSUN5P1,brown
NT5C,brown
NTHL1,brown
NUBP1,brown
NUDC,brown
NUDCD3,brown
NUDT16L1,brown
NUFIP2,yellow
NUMA1,brown
NUP188,brown
NUP210,brown
NUP50,yellow
NUP62,brown
NUP85,brown
NUP93,brown
NXF1,brown
OAT,yellow
OBSCN,brown
ODF2,brown
OGFOD1,brown
OGFRL1,yellow
OGG1,brown
OLFM2,brown
OPA3,brown
ORAI1,brown
ORMDL3,brown
OSBP,brown
OSBPL11,yellow
OSBPL5,brown
OSBPL7,brown
OSBPL9,yellow
OSGEP,brown
OSGIN2,yellow
OSTM1,yellow
OTUD1,yellow
OTUD7B,brown
OVGP1,brown
OXA1L,brown
P2RX4,brown
P2RY14,yellow
P2RY8,brown
P4HB,brown
P4HTM,brown
PAAF1,brown
PABPC1,brown
PACSIN1,brown
PAFAH1B1,brown
PAFAH1B3,brown
PAFAH2,brown
PAG1,brown
PAK4,brown
PAN2,brown
PAN3,yellow
PAOX,brown
PAPOLA,yellow
PAPOLG,yellow
PAPSS2,yellow
PARN,brown
PARP1,brown
PARP3,brown
PARP6,brown
PARP8,yellow
PATZ1,brown
PAX5,brown
PBLD,yellow
PCBP4,brown
PCCA,brown
PCCB,brown
PCGF2,brown
PCGF3,yellow
PCK2,brown
PCMTD1,yellow
