gene,module,GS_RA,kME_own,is_disease_module
SLC7A6OS,brown,-0.281,0.515,TRUE
SLC7A7,blue,-0.118,0.585,FALSE
SLC7A8,blue,-0.165,0.303,FALSE
SLC7A9,grey,-0.144,0.065,FALSE
SLC8A1,red,0.317,0.722,FALSE
SLC8A2,blue,-0.158,0.457,FALSE
SLC8A3,blue,-0.02,0.321,FALSE
SLC9A1,blue,-0.26,0.873,FALSE
SLC9A2,grey,-0.034,0.18,FALSE
SLC9A3,grey,-0.069,-0.302,FALSE
SLC9A3R1,brown,-0.421,0.759,TRUE
SLC9A3R2,grey,-0.029,-0.006,FALSE
SLC9A5,blue,-0.166,0.243,FALSE
SLC9A6,turquoise,0.317,0.785,FALSE
SLC9A7,purple,-0.257,0.659,FALSE
SLC9A8,blue,0.08,0.622,FALSE
SLC9A9,brown,-0.058,0.289,TRUE
SLCO1A2,grey,-0.075,0.31,FALSE
SLCO1B1,grey,-0.087,0.197,FALSE
SLCO1B3,grey,-0.085,0.167,FALSE
SLCO1C1,grey,0.056,0.308,FALSE
SLCO2A1,grey,-0.092,0.03,FALSE
SLCO2B1,grey,-0.006,0.153,FALSE
SLCO3A1,blue,-0.085,0.851,FALSE
SLCO4A1,grey,-0.183,-0.141,FALSE
SLCO4C1,yellow,0.419,0.683,TRUE
SLCO5A1,grey,-0.011,0.198,FALSE
SLCO6A1,grey,0.082,0.252,FALSE
SLFN11,turquoise,0.153,0.43,FALSE
SLFN12,yellow,0.433,0.611,TRUE
SLFN13,brown,-0.057,0.387,TRUE
SLFN5,brown,-0.367,0.541,TRUE
SLFNL1,grey,-0.062,0.105,FALSE
SLIT1,grey,0.109,0.101,FALSE
SLIT2,grey,-0.226,-0.117,FALSE
SLIT3,grey,-0.052,-0.078,FALSE
SLITRK1,grey,0.015,0.057,FALSE
SLITRK2,grey,-0.141,-0.019,FALSE
SLITRK3,grey,0.071,0.342,FALSE
SLITRK4,grey,0.108,0.114,FALSE
SLITRK5,grey,0.022,-0.106,FALSE
SLITRK6,grey,-0.061,0.247,FALSE
SLK,yellow,0.433,0.763,TRUE
SLMAP,yellow,0.483,0.928,TRUE
SLN,grey,-0.048,0.055,FALSE
SLPI,red,0.206,0.584,FALSE
SLTM,turquoise,0.069,0.601,FALSE
SLU7,yellow,0.403,0.765,TRUE
SLURP1,grey,-0.013,0.032,FALSE
SMAD1,grey,0.116,0.112,FALSE
SMAD2,yellow,0.198,0.4,TRUE
SMAD3,green,-0.357,0.748,FALSE
SMAD4,yellow,0.334,0.785,TRUE
SMAD5,turquoise,0.321,0.803,FALSE
SMAD6,grey,0.025,0.227,FALSE
SMAD7,greenyellow,-0.011,0.729,FALSE
SMAD9,grey,0.083,0.028,FALSE
SMAGP,green,-0.269,0.454,FALSE
SMAP1,grey,0.049,-0.038,FALSE
SMAP2,blue,-0.226,0.84,FALSE
SMARCA1,grey,0.096,0.365,FALSE
SMARCA2,turquoise,-0.246,0.303,FALSE
SMARCA4,brown,-0.554,0.789,TRUE
SMARCA5,turquoise,0.337,0.938,FALSE
SMARCAD1,turquoise,0.315,0.894,FALSE
SMARCAL1,brown,-0.422,0.774,TRUE
SMARCB1,brown,-0.299,0.456,TRUE
SMARCC1,brown,-0.492,0.708,TRUE
SMARCC2,brown,-0.55,0.823,TRUE
SMARCD1,brown,-0.512,0.858,TRUE
SMARCD2,blue,-0.441,0.775,FALSE
SMARCD3,blue,0.14,0.553,FALSE
SMARCE1,turquoise,-0.107,0.589,FALSE
SMC1A,brown,-0.43,0.557,TRUE
SMC1B,grey,-0.002,-0.078,FALSE
SMC2,turquoise,0.335,0.771,FALSE
SMC3,grey,-0.021,-0.303,FALSE
SMC4,turquoise,0.194,0.483,FALSE
SMC5,turquoise,0.146,0.707,FALSE
SMC6,turquoise,0.33,0.844,FALSE
SMCHD1,yellow,0.462,0.849,TRUE
SMCP,grey,-0.233,-0.036,FALSE
SMCR5,grey,-0.002,-0.011,FALSE
SMCR8,blue,-0.262,0.288,FALSE
SMG5,blue,-0.349,0.663,FALSE
SMG6,brown,-0.425,0.689,TRUE
SMG7,blue,-0.278,0.694,FALSE
SMNDC1,turquoise,0.379,0.71,FALSE
SMO,grey,-0.128,0.214,FALSE
SMOC1,grey,-0.262,0.174,FALSE
SMOC2,grey,-0.037,0.038,FALSE
SMOX,black,-0.217,0.798,FALSE
SMPD1,brown,-0.402,0.725,TRUE
SMPD2,grey,0.001,0.039,FALSE
SMPD3,tan,-0.083,0.882,FALSE
SMPDL3A,yellow,0.449,0.592,TRUE
SMPDL3B,blue,-0.072,0.356,FALSE
SMPX,grey,-0.068,0.244,FALSE
SMR3A,grey,-0.077,0.127,FALSE
SMS,red,0.259,0.44,FALSE
SMTN,blue,-0.131,0.328,FALSE
SMTNL1,blue,-0.032,0.35,FALSE
SMTNL2,blue,-0.092,0.294,FALSE
SMU1,grey,0.033,-0.038,FALSE
SMUG1,grey,0.198,-0.132,FALSE
SMURF1,grey,-0.072,0.127,FALSE
SMURF2,turquoise,0.12,0.593,FALSE
SMYD1,grey,0.043,-0.064,FALSE
SMYD2,turquoise,0.172,0.832,FALSE
SMYD3,green,-0.053,0.346,FALSE
SMYD4,grey,-0.139,0.033,FALSE
SMYD5,brown,-0.426,0.473,TRUE
SNAI1,grey,-0.124,0.077,FALSE
SNAI2,grey,0.063,0.294,FALSE
SNAI3,blue,-0.093,0.584,FALSE
SNAP23,red,0.221,0.658,FALSE
SNAP25,grey,-0.059,0.289,FALSE
SNAP29,blue,0.01,0.438,FALSE
SNAP47,brown,-0.306,0.556,TRUE
SNAP91,grey,0.039,0.261,FALSE
SNAPC1,turquoise,0.428,0.75,FALSE
SNAPC2,blue,-0.209,0.366,FALSE
SNAPC3,grey,0.114,-0.533,FALSE
SNAPC4,blue,-0.32,0.482,FALSE
SNAPC5,turquoise,0.202,0.428,FALSE
SNAPIN,grey,0.034,-0.267,FALSE
SNCA,black,-0.09,0.848,FALSE
SNCAIP,grey,0.014,0.239,FALSE
SNCB,grey,-0.02,-0.047,FALSE
SNCG,blue,-0.031,0.387,FALSE
SND1,brown,-0.514,0.749,TRUE
SNED1,grey,-0.016,-0.12,FALSE
SNF8,blue,-0.179,0.43,FALSE
SNIP1,blue,-0.123,0.523,FALSE
SNN,blue,-0.179,0.68,FALSE
SNORA21,grey,-0.064,-0.176,FALSE
SNORA37,grey,0.102,0.254,FALSE
SNORA65,grey,-0.225,0.075,FALSE
SNORA71A,grey,0.053,0.28,FALSE
SNORA72,turquoise,0.282,0.747,FALSE
SNORA74A,grey,0.109,0.216,FALSE
SNORA78,grey,-0.05,0.085,FALSE
SNORD8,blue,-0.193,0.341,FALSE
SNORD89,red,0.2,0.461,FALSE
SNPH,brown,-0.182,0.438,TRUE
SNRK,yellow,0.367,0.8,TRUE
SNRNP200,brown,-0.515,0.738,TRUE
SNRNP25,grey,0.014,-0.182,FALSE
SNRNP27,turquoise,0.172,0.582,FALSE
SNRNP35,blue,-0.223,0.599,FALSE
SNRNP40,brown,-0.296,0.563,TRUE
SNRNP48,grey,0.162,-0.096,FALSE
SNRNP70,brown,-0.491,0.709,TRUE
SNRPA,brown,-0.428,0.717,TRUE
SNRPA1,green,-0.268,0.786,FALSE
SNRPB,brown,-0.481,0.764,TRUE
SNRPB2,turquoise,0.144,0.647,FALSE
SNRPC,green,-0.217,0.627,FALSE
SNRPD1,turquoise,0.297,0.709,FALSE
SNRPD2,turquoise,0.184,0.734,FALSE
SNRPD3,green,-0.196,0.483,FALSE
SNRPE,turquoise,0.339,0.787,FALSE
SNRPF,turquoise,0.109,0.518,FALSE
SNRPG,turquoise,0.429,0.803,FALSE
SNRPN,turquoise,0.158,0.663,FALSE
SNTA1,blue,-0.238,0.288,FALSE
SNTB1,turquoise,0.334,0.634,FALSE
SNTB2,turquoise,0.267,0.472,FALSE
SNTG1,grey,-0.102,-0.091,FALSE
SNTG2,grey,-0.021,-0.066,FALSE
SNTN,grey,0.139,0.311,FALSE
SNUPN,green,-0.248,0.535,FALSE
SNW1,turquoise,0.094,0.374,FALSE
SNX1,grey,0.136,0.307,FALSE
SNX10,yellow,0.426,0.913,TRUE
SNX11,blue,0.004,0.754,FALSE
SNX12,blue,-0.109,0.441,FALSE
SNX13,yellow,0.526,0.937,TRUE
SNX14,turquoise,0.494,0.865,FALSE
SNX15,blue,-0.199,0.364,FALSE
SNX16,yellow,0.512,0.859,TRUE
SNX17,brown,-0.367,0.753,TRUE
SNX18,yellow,0.259,0.722,TRUE
SNX19,grey,0.043,-0.051,FALSE
SNX2,turquoise,0.432,0.716,FALSE
SNX20,blue,-0.007,0.497,FALSE
SNX21,blue,0.023,0.501,FALSE
SNX22,purple,-0.313,0.829,FALSE
SNX24,grey,-0.148,-0.257,FALSE
SNX25,turquoise,0.223,0.829,FALSE
SNX27,blue,-0.063,0.842,FALSE
SNX29,brown,-0.456,0.542,TRUE
SNX3,grey,0.157,-0.047,FALSE
SNX30,yellow,0.116,0.49,TRUE
SNX31,grey,-0.152,0.033,FALSE
SNX32,blue,-0.103,0.362,FALSE
SNX33,blue,-0.14,0.348,FALSE
SNX4,turquoise,0.432,0.938,FALSE
SNX5,turquoise,-0.145,0.44,FALSE
SNX6,grey,0.119,-0.361,FALSE
SNX7,turquoise,0.12,0.376,FALSE
SNX8,blue,-0.212,0.269,FALSE
SNX9,brown,-0.244,0.463,TRUE
SOAT1,red,0.119,0.545,FALSE
SOAT2,grey,-0.188,-0.162,FALSE
