gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
DARS,-0.105488468947278,9.21580119751966,-2.97358515451808,0.00333526411139275,0.00864984669099768,TRUE,Down in RA
PKIB,0.158708112335368,3.62764745949485,2.97318519632154,0.00333941236884417,0.00865918032079136,TRUE,Up in RA
PPIL6,0.094756673271025,3.97449318674073,2.9723281792386,0.00334831707013992,0.0086808424303644,FALSE,ns
KLK8,-0.0824446280709348,3.61872607699857,-2.97177142944734,0.00335411356612258,0.00869444041157543,FALSE,ns
SLC7A5,-0.22621410568745,6.44334883369294,-2.97155007362899,0.00335642072894127,0.00869899045549182,TRUE,Down in RA
CDKN1A,-0.214242169587599,8.02847999178453,-2.97148300242651,0.00335712009087453,0.00869937267671465,TRUE,Down in RA
C12orf73,0.160097176948635,4.18816148510125,2.96996180965199,0.00337301777276822,0.00873913201054331,TRUE,Up in RA
TXNL1,0.0696309927729486,10.248269358828,2.96865124033517,0.00338676965404036,0.00877331964776304,FALSE,ns
LIMD2,-0.111219847945678,9.42176505780426,-2.96759103783975,0.00339793205472231,0.00880078918478275,TRUE,Down in RA
ABLIM2,-0.119336629779384,4.96212481033636,-2.96588278759107,0.00341598851517939,0.00884610267205072,TRUE,Down in RA
RIPK3,-0.0915896767585956,7.13002863939956,-2.96569974068568,0.00341792856270398,0.00884967278809179,FALSE,ns
CDK5R2,-0.0706886515573964,3.62616563101024,-2.96449176215309,0.00343075686294925,0.00888142887677272,FALSE,ns
PHACTR2,-0.0974993735197948,8.59263250403272,-2.96439566597771,0.00343177926483411,0.00888261683933992,FALSE,ns
BOLA3,0.139374058368451,6.71297968717523,2.96414405948226,0.00343445752167615,0.00888808962636368,TRUE,Up in RA
PDZD11,0.0984888218343983,7.39448686544959,2.96394086008681,0.0034366219029555,0.00889223096787385,FALSE,ns
DECR2,-0.0949258635557216,5.3805790130819,-2.96332011942875,0.00344324148527018,0.00890789685414637,FALSE,ns
ELP4,-0.0955197800350541,6.69001386625421,-2.96262887159388,0.0034506267240986,0.00892553807876045,FALSE,ns
TRIP13,0.118029041728314,4.58087124642404,2.96218976382246,0.0034553256639206,0.00893622615920926,TRUE,Up in RA
MYO6,0.218173012809793,5.35144645858152,2.96180965948548,0.00345939794171952,0.00894529031419371,TRUE,Up in RA
DES,-0.11142490122225,4.33174299887043,-2.96121794817291,0.00346574605153472,0.00896023536334948,TRUE,Down in RA
ZFYVE9,-0.137653075333397,4.96824843250631,-2.96070256759462,0.00347128396239723,0.00897308119043417,TRUE,Down in RA
TDP1,-0.124910036388751,6.69295066047516,-2.95875914652599,0.00349223968227278,0.0090257704724817,TRUE,Down in RA
LARP4B,-0.0866319013929705,8.08083135851327,-2.9578998350848,0.00350154250449903,0.00904833024564232,FALSE,ns
NPR2,-0.108472066803433,4.49417891510878,-2.95745371138564,0.00350638115602919,0.00905934865800494,TRUE,Down in RA
CEPT1,0.115169646835578,9.39541193223245,2.95729877961033,0.00350806297834825,0.00906220857550041,TRUE,Up in RA
BDH2,0.191832386375056,6.7145681780585,2.9563916355479,0.00351792510845794,0.00908619588474889,TRUE,Up in RA
MXI1,-0.192302060283463,11.4710419424549,-2.95579733412637,0.00352439991207196,0.00910142788564716,TRUE,Down in RA
ARMC8,0.0901331724391821,7.31711713290448,2.95541652896026,0.0035285544577231,0.00911066403228323,FALSE,ns
EZH1,-0.0869353568615352,8.76493481989934,-2.95457147004759,0.00353779001407994,0.00913301408318738,FALSE,ns
DNAH11,-0.143816273307234,6.52080602900408,-2.95451360033269,0.00353842327627512,0.00913315312001387,TRUE,Down in RA
SLC39A5,-0.0883245378886339,4.94779067372602,-2.95318563070069,0.00355298370510282,0.00916923414268759,FALSE,ns
C8orf59,0.250468700097176,7.23199770440441,2.95291058591078,0.00355600627488932,0.00917553231479461,TRUE,Up in RA
NBR2,-0.150355289460954,7.36925996976815,-2.95282963513309,0.00355689632224446,0.0091763267966513,TRUE,Down in RA
SERTAD1,-0.104044211965451,6.87820631849302,-2.95267977266174,0.00355854458742444,0.00917907680110807,TRUE,Down in RA
PTPRE,0.0758704441211017,10.3876580937689,2.95151917037087,0.00357133323144177,0.00921055721976713,FALSE,ns
ANKLE1,-0.0957375358324719,4.17226307353309,-2.95067974743008,0.0035806090598903,0.00923296918224288,FALSE,ns
LEF1,-0.153936503781658,11.2523371490348,-2.95030043489106,0.00358480779875649,0.00924086851835975,TRUE,Down in RA
ZNF551,-0.167286837626392,5.62591885576323,-2.95025840310289,0.00358527334060459,0.00924086851835975,TRUE,Down in RA
CSAD,0.136734399508864,8.28319835050056,2.95024415263117,0.00358543119065459,0.00924086851835975,TRUE,Up in RA
CCDC61,-0.103009066923593,3.86190687735561,-2.9499844783402,0.00358830867490348,0.00924677286946272,TRUE,Down in RA
SLCO4A1,-0.085405876403736,3.67555030373821,-2.94975884363,0.00359081068141343,0.00925170787367111,FALSE,ns
PSMD4,-0.102044358514235,9.13362844741339,-2.94968435157627,0.00359163705622876,0.00925228763542285,TRUE,Down in RA
ZNF90,0.0982673973077414,4.37909231709243,2.94963274756619,0.00359220962562887,0.00925228763542285,FALSE,ns
ATP6AP1L,-0.114763560633776,3.96545613920729,-2.94947887795644,0.00359391737414082,0.00925517392069624,TRUE,Down in RA
HTRA1,0.235189073683343,4.2799025857908,2.94790458378136,0.00361143277280954,0.0092987609927796,TRUE,Up in RA
PGBD4,0.125169595368708,4.83022533611043,2.94747561044776,0.0036162190265532,0.0093095640234457,TRUE,Up in RA
TOMM20,0.100455180594624,9.36148592895928,2.94721087411969,0.00361917571349883,0.00931565427365809,TRUE,Up in RA
FAM32A,0.0673092239261515,8.85485155285306,2.94701662773775,0.0036213465485716,0.00931972010532803,FALSE,ns
