gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
ADPRHL1,0.0158435878205992,0.81787102452117,0.885262600505117,0.0822414890668123,0.351635591863978,0.61207771706488,FALSE,FALSE,ns in both
HRASLS2,0.0492748089882396,0.577230009989425,0.705011362735418,-0.105495503007113,0.351644732404218,0.61207771706488,FALSE,FALSE,ns in both
FAM135B,0.119713284809221,0.0289903895150777,0.0720895267275862,0.0658501907603974,0.351686050995515,0.61207771706488,FALSE,FALSE,ns in both
FCN3,-0.0605793871108465,0.326405957865216,0.473116056444082,-0.0792858941525119,0.351690467177994,0.61207771706488,FALSE,FALSE,ns in both
ZHX3,-0.117424481289494,0.14821959454244,0.263136104152775,-0.0972145874392135,0.351706966812617,0.61207771706488,FALSE,FALSE,ns in both
WDR93,-0.0826948300518009,0.23205770374024,0.369898430989726,0.0785369490468042,0.351712512985603,0.61207771706488,FALSE,FALSE,ns in both
NAT8B,-0.113622263383421,0.479419925237109,0.621352572258502,0.185673850517724,0.351732365700774,0.61207771706488,FALSE,FALSE,ns in both
SLC4A11,-0.117771338473877,0.120500894079791,0.224230385241381,-0.0944043581719516,0.351776932355166,0.61207771706488,FALSE,FALSE,ns in both
PEX11A,0.154572750110131,0.0899546542875445,0.178837275193801,0.114944739458377,0.351787957656049,0.61207771706488,FALSE,FALSE,ns in both
C2CD4A,0.0127412251147781,0.794238917813225,0.869447414310252,0.0624506805235237,0.351800045461385,0.61207771706488,FALSE,FALSE,ns in both
PLAA,0.10608237657246,0.11231116130151,0.212377528680246,0.0828612821773207,0.351926306830932,0.612229817302282,FALSE,FALSE,ns in both
IL1RN,-0.0510070342929444,0.600500236077674,0.724119126475855,0.119678705694597,0.352026458260427,0.612336466735722,FALSE,FALSE,ns in both
TWISTNB,0.345440482628915,0.00243753678588332,0.00933727639268013,0.125295757409996,0.35209592640124,0.612389726124104,TRUE,FALSE,lost to composition
MYH8,0.0126863252354123,0.812239063703047,0.882318541875207,0.0654152496926705,0.352174779224988,0.612459294453164,FALSE,FALSE,ns in both
GPHA2,-0.102809099935482,0.117285489197542,0.219621188669619,-0.0852198526314158,0.352222974535623,0.612475537518481,FALSE,FALSE,ns in both
MYBPC3,0.0286947891836728,0.785110941835051,0.863523470328635,0.126861663150292,0.352357995169023,0.612620887699232,FALSE,FALSE,ns in both
